ARFGAP1;GBF1;0.809
ARFGAP1;AP2B1;0.768
ARFGAP1;KDELR1;0.83
ARFGAP1;AP2A2;0.745
ARFGAP1;ARFGAP2;0.899
RAB11FIP1;RAB11FIP5;0.933
RAB11FIP1;RAB11A;0.999
RAB11FIP1;MYO5B;0.87
RAB11FIP1;RAB4A;0.968
RAB11FIP1;EHD1;0.925
RAB11FIP1;RAB14;0.701
RAB11FIP1;RAB11FIP2;0.942
RAB11FIP1;RAB11FIP4;0.934
RAB11FIP1;RAB25;0.981
RAB11FIP1;RAB11B;0.99
CYTH1;PLEK2;0.919
CYTH1;TRIM23;0.836
CYTH1;PLEK;0.92
CYTH1;CYTIP;0.988
CYTH1;CYTH3;0.801
CYTH1;ARF6;0.995
CYTH1;FRMD4A;0.919
CYTH1;RABIF;0.913
CYTH1;ITGB2;0.954
CYTH1;FRMD4B;0.89
CYTH1;RAB1A;0.702
CYTH1;IPCEF1;0.848
CYTH1;CYTH2;0.896
CYTH1;CDKN2A;0.976
CYTH1;ARF1;0.999
CYTH1;INAVA;0.827
IQSEC1;EGFR;0.788
IQSEC1;GNAQ;0.724
IQSEC1;CALM3;0.936
IQSEC1;ARF6;0.968
IQSEC1;ASAP1;0.746
IQSEC1;ARF1;0.99
IQSEC1;CALM2;0.9
RAB11A;CFTR;0.709
RAB11A;RALA;0.703
RAB11A;VAMP3;0.871
RAB11A;AKAP10;0.749
RAB11A;EXOC2;0.921
RAB11A;SGSM3;0.742
RAB11A;TSG101;0.796
RAB11A;EXOC4;0.906
RAB11A;WDR44;0.734
RAB11A;RAB11FIP5;0.999
RAB11A;STX6;0.787
RAB11A;KIF13A;0.773
RAB11A;EXOC6;0.999
RAB11A;MYO5C;0.744
RAB11A;GDI2;0.893
RAB11A;ODF2;0.806
RAB11A;RAB11B;0.98
RAB11A;EXOC3;0.934
RAB11A;DENND5A;0.976
RAB11A;VPS33B;0.95
RAB11A;PCNT;0.716
RAB11A;TRAPPC10;0.738
RAB11A;EXOC8;0.878
RAB11A;VIPAS39;0.876
RAB11A;IKBKG;0.996
RAB11A;RASA1;0.795
RAB11A;TFRC;0.892
RAB11A;RAB11FIP4;0.99
RAB11A;RAB11FIP2;0.999
RAB11A;MYO5A;0.988
RAB11A;ARF6;0.911
RAB11A;RHO;0.819
RAB11A;MYO5B;0.999
RAB11A;SH3BP5;0.992
RAB11A;EEA1;0.898
RAB11A;OPTN;0.993
RAB11A;LAMP1;0.818
RAB11A;ZFYVE27;0.994
RAB11A;EXOC5;0.849
RAB11A;STX3;0.753
RAB11A;TRAPPC4;0.712
RAB11A;ARF1;0.882
RAB11A;RASSF9;0.718
RAB11A;RAB1A;0.826
RAB11A;EHD1;0.747
RAB11A;HSP90AA1;0.885
RAB11A;RAB7A;0.843
RAB11A;SNX27;0.702
RAB11A;VAMP8;0.804
RAB11A;RAB3IL1;0.924
RAB11A;TRAPPC3;0.702
RAB11A;CHM;0.779
RAB11A;TRAPPC9;0.825
RAB11A;HOOK1;0.792
RAB11A;VPS39;0.828
RAB11A;ARF4;0.928
RAB11A;EXOC7;0.933
RAB11A;PI4KB;0.998
RAB11A;VAMP7;0.893
RAB11A;HSP90AB1;0.775
RAB11A;PSEN1;0.754
RAB11A;TBC1D14;0.926
RAB11A;ASAP1;0.941
RAB11A;RAB2A;0.737
RAB11A;GDI1;0.874
RAB11A;STX12;0.733
RAB11A;RAB5A;0.973
RAB11A;RAB3IP;0.999
RAB11A;RAB6A;0.815
RAB11A;TBC1D4;0.728
RAB11A;EVI5;0.936
RAB11A;SH3TC2;0.711
RAB11A;CEP164;0.704
RAB11A;TBC1D15;0.763
RAB11A;MSN;0.795
RAB11A;SH3BP5L;0.727
RAB11A;CHML;0.717
RAB11A;RAB8A;0.939
RAB11A;VPS35;0.802
RAB11A;EXOC1;0.815
RAB11A;STX7;0.726
ARFGAP2;MLF2;0.75
ARFGAP2;COPB1;0.961
ARFGAP2;ARFGAP3;0.765
ARFGAP2;ARCN1;0.878
ARFGAP2;ARF4;0.733
ARFGAP2;COPG1;0.828
ARFGAP2;GBF1;0.738
ARFGAP2;COPG2;0.792
ARFGAP2;ARF1;0.93
ARFGAP2;COPZ1;0.84
COPB1;ZW10;0.763
COPB1;BET1;0.829
COPB1;GOSR1;0.797
COPB1;NUDCD1;0.71
COPB1;CANX;0.771
COPB1;SEC22B;0.781
COPB1;SEC13;0.825
COPB1;ARFGAP3;0.961
COPB1;SCFD1;0.729
COPB1;RINT1;0.737
COPB1;TMED9;0.733
COPB1;RAB1A;0.811
COPB1;ARF1;0.992
COPB1;GOLPH3;0.922
COPB1;TSGA13;0.759
COPB1;SEC24B;0.763
COPB1;SEC24A;0.724
COPB1;COG3;0.927
COPB1;TMED10;0.909
COPB1;USO1;0.869
COPB1;GBF1;0.841
COPB1;COPG2;0.998
COPB1;COPZ1;0.999
COPB1;COPG1;0.999
COPB1;LMAN1;0.92
COPB1;STX5;0.843
COPB1;TMED7;0.863
COPB1;COG5;0.801
COPB1;GOSR2;0.853
COPB1;RAB1B;0.876
COPB1;GOLGA2;0.8
COPB1;TMED3;0.757
COPB1;SCYL1;0.899
COPB1;COPZ2;0.977
COPB1;DIPK2A;0.759
COPB1;KDELR2;0.921
COPB1;KDELR1;0.961
COPB1;TGOLN2;0.806
COPB1;COG2;0.833
COPB1;STX18;0.741
COPB1;ARCN1;0.999
COPB1;SEC24C;0.714
COPB1;ARF4;0.837
ARF4;PKD2;0.791
ARF4;KDELR2;0.778
ARF4;TMED2;0.727
ARF4;PKD1;0.792
ARF4;ARFGAP3;0.786
ARF4;ARCN1;0.75
ARF4;RHO;0.881
ARF4;RAB8A;0.857
ARF4;ASAP1;0.974
ARF4;RAB3IP;0.854
ARF4;CDKN2A;0.805
ARF4;GBF1;0.905
ARF4;COPZ1;0.775
ARF4;COPG2;0.724
ARF4;COPG1;0.771
ARF4;KDELR3;0.708
ARF4;IKBKG;0.953
ARF4;RAB1A;0.76
ARF4;ARF1;0.856
ASAP1;PLEK2;0.736
ASAP1;PLEK;0.719
ASAP1;APC;0.964
ASAP1;ANK1;0.762
ASAP1;PXN;0.913
ASAP1;ANK3;0.747
ASAP1;ASAP2;0.907
ASAP1;RHO;0.853
ASAP1;ARF6;0.991
ASAP1;CRK;0.924
ASAP1;RAB8A;0.732
ASAP1;ASAP3;0.964
ASAP1;PTK2;0.928
ASAP1;CRKL;0.826
ASAP1;ANK2;0.772
ASAP1;CD2AP;0.769
ASAP1;SRC;0.976
ASAP1;CTTN;0.964
ASAP1;GRB2;0.843
ASAP1;PTK2B;0.769
ASAP1;SH3KBP1;0.917
ASAP1;RAB3IP;0.756
ASAP1;ARF1;0.958
ASAP1;IKBKG;0.97
RAB11FIP4;GSC;0.841
